SecondLayer_behaviorType_factor_1,FirstLayer_itemInter_share_factor_1,FirstLayer_tool_speed_factor_2,FirstLayer_itemInter_freq_factor_14,SecondLayer_tool_inter_factor_3,FirstLayer_itemInter_freq_factor_5,ThirdLayer_inter_factor_10,SecondLayer_task_inter_factor_1,FirstLayer_dialogue_freq_factor_3,SecondLayer_tool_inter_factor_2,FirstLayer_tool_share_factor_1,SecondLayer_task_inter_factor_2,FirstLayer_arg_speed_factor_3,FirstLayer_itemInter_freq_factor_9,FirstLayer_dialogue_freq_factor_1,FirstLayer_itemInter_speed_factor_11,FirstLayer_tool_freq_factor_2,FirstLayer_itemInter_speed_factor_10,FirstLayer_tool_speed_factor_1,ThirdLayer_inter_factor_7,FirstLayer_hotkey_share_factor_1,FirstLayer_dialogue_speed_factor_6,FirstLayer_itemInter_freq_factor_1,SecondLayer_Item_inter_factor_4,plantScore,upstreamArgScore,ThirdLayer_inter_factor_16,FirstLayer_itemInter_speed_factor_2,FirstLayer_behaviorType_freq_factor_2,ThirdLayer_inter_factor_9,FirstLayer_hotkey_freq_factor_1,FirstLayer_itemInter_speed_factor_1,SecondLayer_behaviorType_factor_2,crateDeliveryScore,FirstLayer_dialogue_speed_factor_9,SecondLayer_task_inter_factor_3,SecondLayer_arg_inter_factor_4,FirstLayer_dialogue_speed_factor_2,ThirdLayer_inter_factor_17,FirstLayer_itemInter_freq_factor_3,FirstLayer_itemInter_speed_factor_3,FirstLayer_behaviorType_speed_factor_1,SecondLayer_hotkey_inter_factor_2,PREU3,ThirdLayer_inter_factor_5,playerName,POSTU3
0.561225278,2.765964821,2.193619,1.029420664,-0.302595137,-1.24995063,-2.031859924,0.806035953,-0.259495104,0.682788334,-1.309125025,-0.96491731,0,-0.338580692,-0.413480026,1.056754917,-1.916222962,0.064968927,-1.8638711,0.235208326,-9.470026,0,0.551733809,-0.128802916,-1.834280814,0.672772685,0.732316372,-0.776106956,0.589739403,-0.663254658,-7.77537,-0.481921651,-0.499305774,0.37018611,0,-1.499289787,-0.713142047,0.150592298,-0.139586382,1.891819724,0.933199406,1.469787978,0.703065216,Low,-0.137690098,11,Low
0.507103575,2.577302243,0.065544,-1.108148987,-0.537748497,-2.50840923,-0.160712579,-0.229896566,-0.039594253,-0.956765047,2.296850307,0.10223447,0,0.963488792,-0.207739974,1.307180491,-0.197921835,1.748397443,-2.4209857,2.267292902,8.726172,0,-0.299889577,-0.975794664,-1.102935899,-2.762863491,-1.294933276,0.185985464,-1.33788745,-1.323059175,-9.843779,0.813333471,1.046378597,1.913089555,0,-0.693408026,0.018107353,0.22586346,0.645767616,0.714940482,0.9843445,-0.55889433,1.765389664,Low,0.992315161,12,High
0.255341289,-2.420094733,1.875635,1.325412202,-0.792150228,-1.711162083,0.392667984,0.593968858,0.017618094,1.903104517,-1.234625105,4.711683696,0,-4.39662295,0.947800384,-0.228232693,1.10980456,0.183240058,1.4168968,-0.790007909,5.319547,-1.34055749,-2.664734096,-0.136075677,2.670786754,0.723526355,0.905729286,-1.112854317,0.607192913,0.687830958,4.680216,-0.606214955,0.118062792,-1.411158706,-0.634328783,1.692666887,0.265918201,-0.051854808,-0.406143018,-0.433529947,-0.150137414,-0.925807238,-0.917291488,High,-2.070838337,13,High
1.238071339,4.067172816,6.573293,0.552590805,0.039489448,-1.511135294,0.167771301,-0.876960109,0.136644405,0.096809016,-0.394230165,-0.671830141,0,2.281038366,-0.279075497,-0.990452232,1.264301181,3.491684021,4.8461094,-0.523182925,1.4358671,0.915402447,-0.366027819,0.017372015,2.21233833,0.043287,1.27998774,4.181237829,0.873715342,-0.731762482,4.1114793,4.206471222,-0.275892983,0.669127549,0,0.270251567,-0.839089415,0.094762171,-0.379909241,-1.936198127,0.215089417,-0.404538972,2.839912204,Low,2.30172701,14,High
0.280300461,0.184825074,8.454478,-0.508242901,-0.131247179,-0.512566799,0.537137563,1.20778318,-0.052065068,1.91383537,1.257435903,-2.756340958,0,-0.222736357,-0.274973536,1.916878491,-0.180522604,-0.163864037,1.9180435,1.808266119,3.5308366,-1.188324195,1.595376047,-0.058856491,-0.812922025,-1.765038589,-0.118891432,0.655791115,0.992347794,-0.554926669,-6.125711,0.531721682,0.905558463,1.55849525,-1.232470102,-0.084400373,1.465125694,-0.035865877,-0.207843848,0.598437547,-0.806449775,-0.306812319,0.167978466,Low,0.658049657,15,High
-0.259017841,4.434648161,-60.89442,0.151823165,0.481660385,-3.469725447,1.093755864,-1.021811669,0.192067901,-2.954030841,1.833598485,-1.584526553,0,-3.910728738,-0.181839596,-0.693498577,0.734153094,0.007881692,17.817558,0.056771098,4.285619,0,0.151723199,0.273217944,0.408772202,-0.089839876,0.673392741,-2.200549799,-0.385130401,0.349203747,-3.1692762,5.72984464,1.48374608,-0.677149544,0,-1.318162519,1.033995205,-0.0751028,-0.941686952,-1.123749779,-0.359656929,2.529526491,2.005227778,Low,-1.156409179,16,Low
0.211058101,-1.228721131,2.2532926,-2.126367356,0.978010425,2.084268716,0.586177761,0.671396774,-0.410380423,-0.281834926,0.107432496,-1.509670085,0,-0.73077165,-0.314199118,-2.18709613,-1.066172698,0.258441206,-0.34077337,0.013698543,-10.331455,1.673921357,2.694648154,-1.707840616,-0.081585048,1.252089068,0.587491303,-0.899771224,0.054292679,0.099709326,-1.1424361,-1.735750728,-0.048597425,-0.538249808,0,-0.859774857,1.687790598,-0.135454141,1.041444307,-1.242153377,-1.763953489,1.892800881,-0.408492303,High,-0.633243606,17,High
-1.585754507,3.293769623,4.7239447,-0.270777254,1.073632975,-6.743965056,0.84150532,-1.079411018,0.022350791,1.812434283,0.258754094,-6.853427869,0,-4.265132299,-0.094276922,-2.502454667,0.46135597,2.09493401,-8.250547,-1.795241593,3.5668433,0,0.0757528,2.244735778,0.142795205,-2.210482632,1.455901328,0.23059999,-1.852935249,0.764931434,-1.1506153,3.310659423,0.558024721,-0.093805541,0,-0.114655927,0.196261587,0.373283778,-0.244225815,1.67181362,1.575287355,-1.046538903,0.568053467,Low,0.345689618,18,Low
0.612985415,-1.137698264,7.391576,-0.432129683,0.063089949,0.359190188,-0.155651199,0.387236408,0.26873682,0.239322746,-0.504819168,0.494619618,0,1.811382853,-0.200558625,1.22944102,0.315387129,0.966421263,4.430847,1.142711671,-38.818615,1.883675932,0.043895248,-0.079239596,-0.000345302,-0.269030167,0.496388502,0.286662966,0.728866763,1.192461488,53.98867,-1.199824981,-0.300670375,-1.379127017,-0.439942577,-0.004167569,-0.523339811,-0.044077744,0.39446471,-0.082712325,-0.261326651,-1.429889962,0.831389012,Low,0.643424828,19,Low
0.304199856,0.917827633,-10.5325,0.072758383,-0.117902088,-2.64514086,1.332249756,-2.580688005,-0.126884426,3.097012764,0.916381868,0.318666286,0,-1.374446498,-0.272749628,-2.052056299,0.583044452,1.514235669,-2.1861506,-0.581092133,1.76421,0,2.937818497,-0.402406403,3.816379801,-0.802363683,1.13761372,-2.001016345,0.511604418,-0.082406164,-9.05137,4.9023693,0.787596879,0.224672417,0.723109577,-1.249326934,2.834582135,-0.065642214,-0.158612774,-2.023417977,-0.221944152,1.023011058,-1.07816336,Low,-0.701345388,20,High
