FirstLayer_task_speed_factor_20,ThirdLayer_inter_factor_29,FirstLayer_arg_freq_factor_1,FirstLayer_dialogue_freq_factor_13,ThirdLayer_inter_factor_12,SecondLayer_item_inter_factor_6,SecondLayer_dialogue_inter_factor_4,FirstLayer_task_speed_factor_12,FirstLayer_itemInter_freq_factor_2,FirstLayer_hotkey_freq_factor_2,FirstLayer_arg_speed_factor_7,FirstLayer_task_speed_factor_15,FirstLayer_itemInter_speed_factor_2,ThirdLayer_inter_factor_9,FirstLayer_dialogue_freq_factor_18,SecondLayer_arg_inter_factor_4,FirstLayer_tool_freq_factor_2,SecondLayer_tool_inter_factor_2,FirstLayer_task_speed_factor_30,ThirdLayer_inter_factor_16,fountainScore,SecondLayer_dialogue_inter_factor_1,ThirdLayer_inter_factor_10,SecondLayer_task_inter_factor_13,FirstLayer_task_share_factor_10,FirstLayer_task_speed_factor_28,FirstLayer_task_speed_factor_32,FirstLayer_task_speed_factor_13,ThirdLayer_inter_factor_37,SecondLayer_arg_inter_factor_2,FirstLayer_arg_freq_factor_8,drillRoomScore,FirstLayer_arg_share_factor_2,FirstLayer_arg_freq_factor_6,PREARG,FirstLayer_arg_freq_factor_9,POSTARG,playerName
0.433489016,1.322724105,-0.589299577,-2.070759774,-0.435082929,0.063497166,-0.282921574,-1.230139865,7.807147141,6.927064593,0.047685159,2.00670239,-1.817487449,0.212802858,-1.302542257,0.600489405,4.224939101,-2.152091379,-2.543187546,0.829205213,-1.896750097,0.758390455,0.095674109,-1.88641694,1.336585544,0.325034472,-1.309965943,5.983779432,-0.789763887,0.122166997,-0.042063893,-2.369812627,-0.390729745,-0.758299956,0.38492115,1.264430445,Low,21
-1.654147382,0.589336166,-0.034503036,-0.589123483,-1.182974824,0.39834497,0.647497769,-5.518759182,6.842395887,-0.197730573,0.599085872,-3.628821682,-0.207481423,0.175415955,-0.40494928,-0.550637663,-0.318355277,-0.215828163,-2.230815733,0.18520137,-3.504181467,-0.014609865,0.368466545,-1.615487706,-1.037316833,-0.60533558,-0.124663921,0.523861857,-0.088068298,0.084198916,3.046898135,0.324130006,0.546123613,0.840084066,-1.90740477,-0.199345591,Low,22
-10.86288405,1.249258623,-1.944836979,4.124115844,-0.978307302,-0.327577256,4.371745114,7.146230347,5.835939707,0.39665885,0.398504183,-10.91146322,1.705798297,-0.598002755,-0.261316941,1.045945834,0.914917447,-2.997635828,2.01180733,-2.325314454,3.545301891,-0.845303541,-0.415692225,3.920433176,-1.663736998,-1.054218213,4.226832164,-11.25192396,-0.028546536,0.094264626,0.335761702,3.806282217,0.883149042,-0.076508261,-1.367084527,-0.558819884,Low,23
-1.578876605,-1.045555754,1.335739184,1.070756294,-0.900229609,-1.264253855,-1.396780593,0.941992135,-6.567965076,0.525106867,-0.706993807,-3.013840548,-0.025775868,-0.6301125,-0.736459719,-1.453991525,-0.033138925,-0.223177417,1.34166024,-1.142993299,3.644281943,1.129830936,-0.289558781,1.26571864,-0.088826373,0.715924024,0.80717742,-1.248808487,0.799001603,0.648816038,0.275237317,1.185047493,0.123471327,1.406310975,0.195305173,-0.981287391,High,24
3.158617824,-1.188248371,-1.192174866,1.949903357,0.617598598,0.25250756,-1.722278305,-5.097332951,18.97068317,1.539764994,0.094787998,-2.256510492,2.541221502,1.954740345,-1.146028785,0.135648097,0.019081718,-0.70786923,6.257576709,-0.23326039,-2.84269191,-0.702552947,-0.191627794,-0.882983784,-0.490468325,-0.067608894,-1.129178772,4.53012477,-2.578212445,0.350052114,0.903931118,1.930324708,0.581928636,1.128106553,0.043515391,0.525133476,High,25
0.633055016,0.916662425,0.165522445,-0.951883799,0.385360799,-1.091166024,-0.615034577,-1.426869084,9.05922687,3.860205784,0.205260573,2.253898609,-1.275847971,0.176367408,-0.559382884,-0.092828442,4.639175656,0.295804686,-3.188198548,-0.589543319,-4.292580559,-0.776275398,0.664060976,-2.151195158,1.21534335,0.82823127,-1.014263639,5.718778203,-0.120950221,0.034506373,4.938534993,-2.937232265,1.286117497,-0.392669538,-1.495265892,-1.426716528,High,26
1.560203527,-0.992244539,0.335583251,1.87656064,-0.890357298,-0.727777753,0.321383216,3.350848651,8.024359514,0.427818668,0.646619875,2.189134676,1.454980768,-0.065696523,0.95726631,-0.484933733,0.012781489,0.851589553,-0.286157137,1.167006704,-0.491776799,0.741560181,-0.774604117,0.00397508,1.534767884,0.772592567,-1.213924111,1.647329963,1.226085852,-0.384844647,1.272360187,0.527261931,0.22873826,-3.345236153,-1.211981878,-0.162614736,Low,27
-1.948884775,2.818658179,0.41290227,2.278697617,0.110620931,0.972836936,1.771379848,7.711788064,8.952675005,0.266324075,-0.885317183,-5.160132138,-2.398840483,0.958649557,0.394493256,-0.311941749,-0.79708606,-0.149558239,5.014158996,-0.09242959,-4.385850615,0.478687836,-0.648376599,1.991661625,0.514938002,0.296126737,3.133945048,-2.912132284,0.876727847,0.022617323,-0.021132391,1.53126566,-0.030795068,-0.367171624,-0.576594968,-0.434163949,Low,28
-3.27450828,0.750331746,1.542082152,-1.392855006,-0.2473815,-0.973975257,-0.674679256,2.47283803,-3.327348405,1.5715912,0.41378421,-4.462244,-0.970197279,-0.090234229,0.329064809,-0.258852728,-0.131594086,0.931908111,2.952575272,0.159300157,2.089241485,0.71209864,-0.069921281,1.102707725,-0.760517655,0.942847604,4.364551164,-4.428318558,0.147015862,-1.288479907,-2.880280785,0.668118399,0.179076951,0.704680835,2.280858515,-0.816002923,Low,29
-2.115760136,0.651370133,2.38757248,-1.800372125,-1.470453927,-1.014821951,0.662907138,0.109277385,5.687221969,0.462111588,1.196199323,-3.343971117,4.43464909,-2.483804389,-1.68248073,-1.361101155,3.519122836,-2.656627336,0.985749041,-0.223566084,1.726288405,-0.158352871,-0.33660031,0.644557103,1.263296385,1.416485782,3.172895097,-3.848374954,-0.99460607,0.884540456,-3.095021794,0.591516176,0.612612818,-1.179784411,2.358858166,-1.260248776,High,30
