FirstLayer_dialogue_speed_factor_3,FirstLayer_task_speed_factor_1,FirstLayer_task_speed_factor_5,SecondLayer_Item_inter_factor_3,SecondLayer_Item_inter_factor_5,FirstLayer_dialogue_speed_factor_9,FirstLayer_dialogue_speed_factor_13,FirstLayer_dialogue_share_factor_13,SecondLayer_Item_inter_factor_9,FirstLayer_behaviorType_share_factor_1,floodArmoryScore,FirstLayer_dialogue_share_factor_10,FirstLayer_dialogue_speed_factor_7,FirstLayer_dialogue_speed_factor_10,FirstLayer_dialogue_freq_factor_14,FirstLayer_dialogue_speed_factor_15,FirstLayer_itemInter_speed_factor_1,FirstLayer_dialogue_speed_factor_19,ThirdLayer_inter_factor_7,SecondLayer_arg_inter_factor_1,SecondLayer_Item_inter_factor_6,FirstLayer_itemInter_speed_factor_3,FirstLayer_dialogue_share_factor_2,SecondLayer_Item_inter_factor_4,playerName,POSTU4
0.053762612,-1.302241404,-0.074168836,1.085081046,-0.33026665,0.04366667,0.228166553,0.201018747,0.268889066,-2.144646536,-0.052630811,-1.741108682,-0.087013217,0.850508555,-0.032569681,-0.20334377,2.897687635,-2.049343649,-1.046383088,0.126126179,0.719179216,2.604672224,1.252106088,0.995651189,11,Low
-0.024827317,9.000572367,-0.571311304,-1.049037142,0.165933531,-0.014467187,-0.463627805,-1.529403014,-0.832663259,-1.500243087,3.642970206,0.763730728,-0.099235479,1.249925569,0.038441671,-0.416879877,1.906822206,-0.032862656,0.404768818,-0.689756263,-2.284322683,0.762666835,0.026430937,-0.849861918,12,High
-0.031124649,-2.430378607,0.460458686,-1.35749201,1.328615548,-0.0184258,-0.398078409,-2.369573387,-0.932871223,-0.14204718,-1.313248498,0.822020483,-0.033287799,-0.94132789,-0.066391598,0.053619878,-2.264196825,0.417922031,-0.20065135,-0.177109178,0.202135019,0.869026505,-0.113806342,-2.433169502,13,High
-0.023649085,-1.553462462,-0.25475401,-1.247728347,0.632724009,-0.218051333,0.700624629,3.039061931,-0.559840219,-0.322652466,-1.780090677,0.240376203,-0.081772735,1.241117563,-0.020912863,-1.888319763,0.742048415,1.065389701,0.155824643,-0.333854817,-1.16035731,-0.013845234,-1.215551489,-1.845992363,14,High
-0.07861186,6.840360419,0.061028258,-0.890304757,0.138689423,-0.024819076,-0.544934124,-0.04934001,-0.614955867,1.266004685,-0.864836582,0.339434946,0.036584937,0.072987853,0.058735522,-0.222450156,-0.524764268,0.587255658,-0.009791836,-0.335119305,0.346370499,-1.54189481,-0.849226344,1.662765774,15,High
-0.019590446,-0.368090812,2.241167004,-0.301118894,-0.478221421,-0.063563727,-1.396445579,-2.581244928,0.299240899,-0.870830014,-3.589195623,1.241395214,-0.029267146,-1.687326395,-0.05756408,1.589519058,1.514273764,1.130627742,-1.996436626,0.222690864,0.371846833,0.218249238,0.353896703,-1.170428441,16,High
-0.052304677,-2.388239378,1.461531761,-0.086168036,-0.875845091,0.024485402,0.438500199,-1.576222739,-0.642907197,0.65808626,2.738646037,0.814280474,0.056501339,-1.50643314,-0.01491582,-1.172189023,0.854017594,0.59614686,0.295125126,0.018973548,1.87368739,1.724422426,-1.826652898,1.259018047,17,High
-0.013803858,-2.081831905,0.16623271,-0.459027765,-1.00430275,0.003629526,-0.398771394,0.612509287,-1.675104913,1.034428469,-1.746372764,-0.549801611,-0.039145994,1.029884953,0.087387319,-0.872498778,2.701715119,-0.664775541,-0.705571393,0.927438014,1.949015587,-0.508830457,-0.437520257,-0.28675999,18,High
-0.05897658,-0.96349977,-1.6493308,-0.033268582,-0.935349386,0.068359962,0.906138423,-0.718709806,2.226010904,-1.848933082,3.973226861,-0.451390075,0.05855682,1.301336006,-0.026828783,1.298309747,-1.343624951,0.577979517,-0.288636173,0.779131609,-2.689903209,-0.849284426,0.734218859,0.753496603,19,High
0.047826695,6.913355067,0.439704966,-0.863857974,-0.404258339,-0.049595359,-0.353130996,0.343518407,1.191907475,0.457882387,-0.586696883,0.269808506,0.071181027,0.881944322,-0.011983924,1.367302872,2.887100937,-1.676658941,0.408763186,-0.133282096,0.559147931,2.154052874,1.686914278,2.195105544,20,High
0.069560377,5.244219313,-0.113104521,-0.143433941,3.624737594,-0.000302619,-0.062925686,0.816523058,0.16143254,-0.478953148,-1.583777096,-2.432756292,-0.089905842,1.586415251,-0.00869666,2.160487149,-3.943678924,-1.853365837,-0.345225319,-1.14456833,-4.719564635,-2.112931247,0.638779805,-0.597444583,21,High
-0.008828655,-0.337091373,1.997449874,1.749787121,2.973461222,0.008177703,-0.346732304,-0.001030277,-1.359743191,-1.337422913,-3.156321773,0.399092768,-0.138091319,-0.309584754,-0.016449005,1.047920343,2.195349966,0.771291526,-0.197187143,-2.348301802,-3.035325504,-1.934189011,-1.400790268,-3.324967175,22,High
-0.0668052,-0.690158285,0.562701256,-1.197624554,-2.132972889,-0.011103037,-0.158637073,0.693762166,1.93228486,-0.11515417,-0.389125684,0.322371341,0.117701318,-3.04522929,-0.08067928,0.785672391,-0.45684533,1.511780759,0.713587599,0.813931953,-1.190537184,2.048190899,0.141837496,0.401669361,23,High
-0.030614074,-0.778476819,0.619431872,1.218206744,-0.628497399,-0.061816898,-0.726003875,-0.752906523,1.136557808,-0.051389672,-1.080801945,-0.513885337,-0.030653409,-2.239207187,0.035972905,2.845917423,3.347362877,-1.646930451,0.623283643,0.872826294,1.027569401,-0.082675231,-0.492006399,1.579208653,24,High
0.026299652,6.223053896,-0.058136288,1.58985298,-1.582505572,0.059008017,1.57341352,1.239831986,-0.254764431,-0.151859921,2.408481042,-1.856235345,-0.00862879,3.10028678,-0.040314192,-2.409264171,1.99731919,-1.261636803,-0.542969266,0.230619073,-1.385076094,-2.06925552,-0.486205787,0.824517358,25,High
0.108467125,6.988553326,0.74863985,1.048638344,0.061567363,0.028275606,-0.053083507,0.783822178,0.063117937,0.874893079,1.490375788,0.43731032,-0.06841168,1.60806747,0.006031473,-1.013338363,1.756354894,1.473784419,0.12545726,-0.034271694,0.337357022,0.365949582,-0.435481637,0.32456578,26,High
