,ItemID,classId,buildType,installId,playerName,playerId,timestamp,platform,sessionId,teacherId,type,unit,buildVersion,PlayerpostionX,PlayerpostionZ,PlayerpostionY,CamerarotationX,CamerarotationZ,CamerarotationY,QuestTableF,TasktableF,Scenenames,buildVersion.1,dialogueID,dialogueEventType
33,5c5362d6e4194c47a14dd20a,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,328,DialogueStartEvent
34,5c5362e5e4194c47a14dd230,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,328,DialogueFinishEvent
35,5c536303e4194c47a14dd29c,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:05,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,329,DialogueStartEvent
36,5c536312e4194c47a14dd2b9,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:05,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - Time to Argue!,"78,toppoTalk","U1,U1_Quest",0.11.141,329,DialogueFinishEvent
37,5c536330e4194c47a14dd301,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:05,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-55.83097076,0.500736892,0.984734416,-0.969015181,0.247001767,0,U1 - Time to Argue!,"78,toppoTalk","U1,U1_Quest",0.11.141,173,DialogueStartEvent
38,5c53635de4194c47a14dd35b,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:06,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-55.83097076,0.500736892,0.984734416,-0.969015181,0.247001767,0,U1 - Time to Argue!,"78,toppoTalk","U1,U1_Quest",0.11.141,173,DialogueFinishEvent
39,5c536362e4194c47a14dd372,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:06,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.999780774,-0.020945549,0,U1 - Time to Argue!,"78,toppoTalk","U1,U1_Quest",0.11.141,174,DialogueStartEvent
40,5c536362e4194c47a14dd37c,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:06,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.999780774,-0.020945549,0,U1 - Time to Argue!,"78,toppoTalk","U1,U1_Quest",0.11.141,184,DialogueStartEvent
41,5c536362e4194c47a14dd381,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:06,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.999780774,-0.020945549,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,174,DialogueFinishEvent
42,5c536385e4194c47a14dd3d2,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.999780774,-0.020945549,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,184,DialogueFinishEvent
43,5c53639ee4194c47a14dd422,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.996917605,0.078456461,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,431,DialogueStartEvent
44,5c5363bce4194c47a14dd462,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:08,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.996917605,0.078456461,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,431,DialogueFinishEvent
45,5c5363dfe4194c47a14dd4cf,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:08,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.991894841,0.127062023,0,U1 - Meet up with Jasper,"79,meetJasper","U1,U1_Quest",0.11.141,177,DialogueStartEvent
46,5c5363eee4194c47a14dd4fa,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:08,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.991894841,0.127062023,0,U1 - Meet up with Jasper,"79,meetJasper","U1,U1_Quest",0.11.141,177,DialogueFinishEvent
47,5c53640ce4194c47a14dd53f,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:09,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-5.183272362,2.015031338,0.979998827,0.977416337,0.211322665,0,U1 - Meet up with Jasper,"79,meetJasper","U1,U1_Quest",0.11.141,293,DialogueStartEvent
48,5c53640ce4194c47a14dd547,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:09,WindowsPlayer,NA,11,DialogueEvent,0,0.11.141,-5.183272362,2.015031338,0.979998827,0.977416337,0.211322665,0,U1 - Meet up with Jasper,"79,meetJasper","U1,U1_Quest",0.11.141,293,DialogueFinishEvent
